atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),Adip_xx (ppm Å^-3),Adip_xy (ppm Å^-3),Adip_xz (ppm Å^-3),Adip_yy (ppm Å^-3),Adip_yz (ppm Å^-3),Adip_zz (ppm Å^-3),δ_total_avg (ppm),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (Hz)
H32,apax,3.19558,-1.33267,0.43282,0.00000,2840.17289,-1965.63803,638.38656,-1053.44839,-266.22971,-1786.72450,-59.13703,-59.13703,4.55000,0.00000,-63.68703,1
H33,apeq,4.07640,-0.22109,1.17244,0.00000,1831.20774,-155.64681,825.38252,-1030.07988,-44.76664,-801.12786,-15.91189,-15.91189,3.65000,0.00000,-19.56189,1
H34,py3,5.32462,0.45041,-0.78961,0.00000,966.90734,124.50080,-218.25970,-494.37113,-18.46265,-472.53621,-6.01396,-6.01396,7.35000,0.00000,-13.36396,1
H35,py4,5.33449,1.39569,-2.94258,0.00000,386.37210,186.36482,-392.91957,-277.17636,-102.80157,-109.19574,7.50926,7.50926,7.97000,0.00000,-0.46074,1
H36,py6,1.34535,1.79878,-2.67042,0.00000,-1037.68008,1116.60291,-1657.67912,-379.87701,-2216.37457,1417.55709,78.73182,78.73182,8.60000,0.00000,70.13182,1
H37,tBu,4.64858,0.89541,-5.33076,0.00000,60.48586,53.95047,-321.18976,-209.20915,-61.86770,148.72328,13.43323,11.32887,1.24000,0.00000,10.08887,1
H38,tBu,3.56661,1.44842,-6.37258,-0.00000,-60.07014,53.91742,-237.21991,-170.94134,-96.33610,231.01148,13.43323,14.42727,1.24000,-0.00000,13.18727,1
H39,tBu,3.14065,0.35982,-5.28051,0.00000,-74.67714,30.55466,-448.40478,-337.87151,-51.37276,412.54865,13.43323,25.31599,1.24000,0.00000,24.07599,1
H40,tBu,4.17195,4.08831,-3.92290,-0.00000,12.48951,236.09829,-226.54566,2.92701,-222.00431,-15.41652,13.43323,0.49671,1.24000,-0.00000,-0.74329,1
H41,tBu,4.34735,3.78177,-5.48293,0.00000,-16.41199,123.29455,-178.75615,-50.89149,-155.50044,67.30348,13.43323,5.09958,1.24000,0.00000,3.85958,1
H42,tBu,5.27196,3.03404,-4.41169,-0.00000,89.42409,159.40933,-231.79168,-95.82577,-133.39713,6.40168,13.43323,3.07432,1.24000,-0.00000,1.83432,1
H43,tBu,1.30039,2.13962,-4.89623,-0.00000,-398.22507,132.06661,-302.21707,-261.19295,-497.25770,659.41802,13.43323,35.22621,1.24000,-0.00000,33.98621,1
H44,tBu,2.03509,3.27717,-5.75091,0.00000,-177.54579,99.98218,-175.45261,-78.62867,-282.53765,256.17446,13.43323,14.07482,1.24000,0.00000,12.83482,1
H45,tBu,1.70192,3.52603,-4.20432,-0.00000,-309.17975,228.90846,-272.94260,54.58517,-565.48258,254.59458,13.43323,11.85530,1.24000,-0.00000,10.61530,1
